rel_path,filename,ext,parent,duration_sec,sr,channels,hash
BABY CRY\belly_pain\357c.wav,357c.wav,.wav,belly_pain,7.0,8000,1,8090ee4fa8c7f5e64b3496949a869525
BABY CRY\belly_pain\358c.wav,358c.wav,.wav,belly_pain,7.0,8000,1,9d864e301034d39a8e7a5994c2f48b79
BABY CRY\belly_pain\359c.wav,359c.wav,.wav,belly_pain,7.0,8000,1,e7c3346dbe2ec989e3dab9819f939ab8
BABY CRY\belly_pain\360c.wav,360c.wav,.wav,belly_pain,7.0,8000,1,6df5ba8c2dd50456a7d105c4dd6169d7
BABY CRY\belly_pain\361c.wav,361c.wav,.wav,belly_pain,7.0,8000,1,5ee0d7cee3cc48210b5fb5a3bbc59f2c
BABY CRY\belly_pain\362c.wav,362c.wav,.wav,belly_pain,7.0,8000,1,9049a7d94232adc5b52225bd6c400eaa
BABY CRY\belly_pain\363c.wav,363c.wav,.wav,belly_pain,7.0,8000,1,689d9039e6e6a5a77fc7b45daebdaf27
BABY CRY\belly_pain\364c.wav,364c.wav,.wav,belly_pain,7.0,8000,1,014d843b14f7592648b0cc7d2813a04e
BABY CRY\belly_pain\365c.wav,365c.wav,.wav,belly_pain,7.0,8000,1,5f290561f6a998b5fbdeb4f84bb56601
BABY CRY\belly_pain\366c.wav,366c.wav,.wav,belly_pain,7.0,8000,1,7a4da29cdc43fd923cd6358575a6e3ab
BABY CRY\belly_pain\367c.wav,367c.wav,.wav,belly_pain,7.0,8000,1,efacac34ba63c8a41d39cbc64ccee9fc
BABY CRY\belly_pain\368c.wav,368c.wav,.wav,belly_pain,7.0,8000,1,8b9745e120f84677d9c15461c75e085b
BABY CRY\belly_pain\369c.wav,369c.wav,.wav,belly_pain,7.0,8000,1,8db2b52c62c5efd4c8ee40906df10a6d
BABY CRY\belly_pain\370c.wav,370c.wav,.wav,belly_pain,7.0,8000,1,507efe315d09c1e9f859b7b51fdb84c9
BABY CRY\belly_pain\371c.wav,371c.wav,.wav,belly_pain,7.0,8000,1,44f079baaf21aadc1c0c16d3a63a5c11
BABY CRY\belly_pain\372c.wav,372c.wav,.wav,belly_pain,7.0,8000,1,dcf5e95b9c09a13f607b851ab6940c4c
BABY CRY\belly_pain\373c.wav,373c.wav,.wav,belly_pain,7.0,8000,1,cf1ce0214051abf30ee87276a83ce694
BABY CRY\belly_pain\374c.wav,374c.wav,.wav,belly_pain,7.0,8000,1,5f76297b57b312fcf4afbea5da943671
BABY CRY\belly_pain\375c.wav,375c.wav,.wav,belly_pain,7.0,8000,1,10224bfbdc1959b4b80e20f7a755b385
BABY CRY\belly_pain\376c.wav,376c.wav,.wav,belly_pain,7.0,8000,1,6eac8629512402bf966a8926bdbb8daa
BABY CRY\belly_pain\377c.wav,377c.wav,.wav,belly_pain,7.0,8000,1,c733fabbf8dbea6de96bef256b70ffcc
BABY CRY\belly_pain\378c.wav,378c.wav,.wav,belly_pain,7.0,8000,1,cd53f1ee36f987b90731f95843c65dfb
BABY CRY\belly_pain\379c.wav,379c.wav,.wav,belly_pain,7.0,8000,1,ef94435a169b87a051698f01693b0896
BABY CRY\belly_pain\380c.wav,380c.wav,.wav,belly_pain,7.0,8000,1,7c24ffe061b8b93ed0fe8e80e2f6efd5
BABY CRY\belly_pain\381c.wav,381c.wav,.wav,belly_pain,7.0,8000,1,8af3a9d79619c7023cd94a19d5086c85
BABY CRY\belly_pain\382c.wav,382c.wav,.wav,belly_pain,7.0,8000,1,6b0db90320924e090360ca4dede8748c
BABY CRY\belly_pain\383c.wav,383c.wav,.wav,belly_pain,7.0,8000,1,4002eb660e47cac58922a646b2925617
BABY CRY\belly_pain\384c.wav,384c.wav,.wav,belly_pain,7.0,8000,1,f296ba262a1215a884b30cab4ecb67ff
BABY CRY\belly_pain\385c.wav,385c.wav,.wav,belly_pain,7.0,8000,1,6516340f197c45be3dc282bdcd89af46
BABY CRY\belly_pain\386c.wav,386c.wav,.wav,belly_pain,7.0,8000,1,bd6e54506eba9b9d9051cf69c08bb71b
BABY CRY\belly_pain\387c.wav,387c.wav,.wav,belly_pain,7.0,8000,1,716f497aebb69bc50943f8f25eff3053
BABY CRY\belly_pain\388c.wav,388c.wav,.wav,belly_pain,7.0,8000,1,aad804dc8a5df27e90e143e3ed8f2133
BABY CRY\belly_pain\389c.wav,389c.wav,.wav,belly_pain,7.0,8000,1,67eae510ea80f81bb78feb55653ef8fe
BABY CRY\belly_pain\390c.wav,390c.wav,.wav,belly_pain,7.0,8000,1,b2e7bb3b95edd30f446583b6a2bb5549
BABY CRY\belly_pain\391c.wav,391c.wav,.wav,belly_pain,7.0,8000,1,6db5251e25e173c881f7f04de64a23c2
BABY CRY\belly_pain\392c.wav,392c.wav,.wav,belly_pain,7.0,8000,1,5da2707528e4359f5da0ab741a022df7
BABY CRY\belly_pain\393c.wav,393c.wav,.wav,belly_pain,7.0,8000,1,9e0235a1ae3745b2a147e95b98ce0b0d
BABY CRY\belly_pain\394c.wav,394c.wav,.wav,belly_pain,7.0,8000,1,8b87af01599fcc3a9097b3a02cc9a160
BABY CRY\belly_pain\395c.wav,395c.wav,.wav,belly_pain,7.0,8000,1,2c1d56c97e1b6fb328008ac59933c0ba
BABY CRY\belly_pain\396c.wav,396c.wav,.wav,belly_pain,7.0,8000,1,0a655e593a0cab3f70eb275b9e9f686e
BABY CRY\belly_pain\397c.wav,397c.wav,.wav,belly_pain,7.0,8000,1,65dea11432967bb264a2b4d7e1440fed
BABY CRY\belly_pain\398c.wav,398c.wav,.wav,belly_pain,7.0,8000,1,f317dfb6485f9be34429f603196a6836
BABY CRY\belly_pain\399c.wav,399c.wav,.wav,belly_pain,7.0,8000,1,1af2a81f1f772129da6147c8d4185741
BABY CRY\belly_pain\400c.wav,400c.wav,.wav,belly_pain,7.0,8000,1,9f85fbfcd9b1d12befabf8ce689163f1
BABY CRY\belly_pain\401c.wav,401c.wav,.wav,belly_pain,5.0,44100,1,fa55ebfbb70920f96a8955113249f482
BABY CRY\belly_pain\402c.wav,402c.wav,.wav,belly_pain,5.0,44100,1,4519d22f2c9d4530278b6861e826e4b7
BABY CRY\belly_pain\403c.wav,403c.wav,.wav,belly_pain,5.0,44100,1,35a7cdc74ed92d76255efae87ea31208
BABY CRY\belly_pain\404c.wav,404c.wav,.wav,belly_pain,5.0,44100,1,cd852228ab82b10ddf8ee4782ef8fdc2
BABY CRY\belly_pain\405c.wav,405c.wav,.wav,belly_pain,5.0,44100,1,2ee892692c3c5a74f91d1a58dc4b9a04
BABY CRY\belly_pain\406c.wav,406c.wav,.wav,belly_pain,5.0,44100,1,714376ab91996f68e55c48ddfba58e8f
BABY CRY\belly_pain\407c.wav,407c.wav,.wav,belly_pain,5.0,44100,1,663e42bf57a7e60a3e4b4affc7aa2ee4
BABY CRY\belly_pain\408c.wav,408c.wav,.wav,belly_pain,5.0,44100,1,093d1d545a26d5891eac6f5325e9f9b2
BABY CRY\belly_pain\409c.wav,409c.wav,.wav,belly_pain,5.0,44100,1,3db7effbaae27d2a0feb93e12e77d142
BABY CRY\belly_pain\410c.wav,410c.wav,.wav,belly_pain,5.0,44100,1,6651668e7a871252d29576337e62ef37
