md5_hash,resolved_label_binary,source_selected_path,all_original_paths,evidence_status_summary,output_path_binary,original_duration_sec,cleaned_duration_sec,output_sample_rate
012d46a1057c852dac5e0c451f5a24ed,Hungry,raw_data\BABY CRY\hungry\8b1faa77-e3ac-48af-bf2a-58aadebefcba-1436798541805-1.7-m-04-hu.wav,raw_data\BABY CRY\hungry\8b1faa77-e3ac-48af-bf2a-58aadebefcba-1436798541805-1.7-m-04-hu.wav; raw_data\BABY CRY\tired\287c.wav; raw_data\Baby Crying Sounds\hungry\8b1faa77-e3ac-48af-bf2a-58aadebefcba-1436798541805-1.7-m-04-hu.wav; raw_data\Baby Crying Sounds\tired\287c.wav; raw_data\Dataset\cry\287c.wav; raw_data\donateacry_corpus\hungry\8b1faa77-e3ac-48af-bf2a-58aadebefcba-1436798541805-1.7-m-04-hu.wav; raw_data_2\Baby Crying Sounds\hungry\8b1faa77-e3ac-48af-bf2a-58aadebefcba-1436798541805-1.7-m-04-hu.wav; raw_data_2\Baby Crying Sounds\tired\287c.wav; raw_data_2\cry\hungry\8b1faa77-e3ac-48af-bf2a-58aadebefcba-1436798541805-1.7-m-04-hu.wav; raw_data_2\cry\tired\287c.wav; raw_data_2\Dataset\cry\287c.wav; raw_data_2\hungry\hungry1 (68).wav,resolved_by_filename_priority,majority_binary/Hungry/Hungry__012d46a1057c852dac5e0c451f5a24ed.wav,6.74,3.776,16000
014d843b14f7592648b0cc7d2813a04e,Hungry,raw_data\BABY CRY\belly_pain\364c.wav,raw_data\BABY CRY\belly_pain\364c.wav; raw_data\BABY CRY\hungry\D54D9C2A-56ED-4338-9D1F-2ADB4E081DAD-1430036283-1.0-m-48-hu.wav; raw_data\Baby Crying Sounds\belly pain\364c.wav; raw_data\Baby Crying Sounds\hungry\D54D9C2A-56ED-4338-9D1F-2ADB4E081DAD-1430036283-1.0-m-48-hu.wav; raw_data\Dataset\cry\364c.wav; raw_data\donateacry_corpus\hungry\D54D9C2A-56ED-4338-9D1F-2ADB4E081DAD-1430036283-1.0-m-48-hu.wav; raw_data_2\Baby Crying Sounds\belly pain\364c.wav; raw_data_2\Baby Crying Sounds\hungry\D54D9C2A-56ED-4338-9D1F-2ADB4E081DAD-1430036283-1.0-m-48-hu.wav; raw_data_2\cry\belly pain\364c.wav; raw_data_2\cry\hungry\D54D9C2A-56ED-4338-9D1F-2ADB4E081DAD-1430036283-1.0-m-48-hu.wav; raw_data_2\Dataset\cry\364c.wav; raw_data_2\hungry\hungry1 (313).wav,resolved_by_filename_priority,majority_binary/Hungry/Hungry__014d843b14f7592648b0cc7d2813a04e.wav,7.0,6.68,16000
016f7ca6c5f88964876310d8ab928f7e,Hungry,raw_data\BABY CRY\hungry\AA2CA7F6-4547-4CC0-AA4C-5D7B64727FB5-1437123487-1.1-f-26-hu.wav,raw_data\BABY CRY\hungry\AA2CA7F6-4547-4CC0-AA4C-5D7B64727FB5-1437123487-1.1-f-26-hu.wav; raw_data\Baby Crying Sounds\hungry\AA2CA7F6-4547-4CC0-AA4C-5D7B64727FB5-1437123487-1.1-f-26-hu.wav; raw_data\Baby Crying Sounds\tired\335c.wav; raw_data\Dataset\cry\335c.wav; raw_data\donateacry_corpus\hungry\AA2CA7F6-4547-4CC0-AA4C-5D7B64727FB5-1437123487-1.1-f-26-hu.wav; raw_data_2\Baby Crying Sounds\hungry\AA2CA7F6-4547-4CC0-AA4C-5D7B64727FB5-1437123487-1.1-f-26-hu.wav; raw_data_2\Baby Crying Sounds\tired\335c.wav; raw_data_2\cry\hungry\AA2CA7F6-4547-4CC0-AA4C-5D7B64727FB5-1437123487-1.1-f-26-hu.wav; raw_data_2\cry\tired\335c.wav; raw_data_2\Dataset\cry\335c.wav; raw_data_2\hungry\hungry1 (247).wav,resolved_by_filename_priority,majority_binary/Hungry/Hungry__016f7ca6c5f88964876310d8ab928f7e.wav,7.0,7.0,16000
01964e9af9af90af4fa1cb31c3878f27,Not_Hungry,raw_data\BABY CRY\discomfort\a40b9b8d-e4bc-457a-badf-f38bdbc0c358-1430016981469-1.7-m-26-dc.wav,raw_data\BABY CRY\discomfort\a40b9b8d-e4bc-457a-badf-f38bdbc0c358-1430016981469-1.7-m-26-dc.wav,no_conflict,majority_binary/Not_Hungry/Not_Hungry__01964e9af9af90af4fa1cb31c3878f27.wav,6.96,6.832,16000
0299a151c1fd4c1c1aa4e391e3b25830,Hungry,raw_data\BABY CRY\hungry\415d69b4-6d84-4bf8-97b0-10f8f108dc1d-1430739498797-1.7-m-04-hu.wav,raw_data\BABY CRY\hungry\415d69b4-6d84-4bf8-97b0-10f8f108dc1d-1430739498797-1.7-m-04-hu.wav; raw_data\Baby Crying Sounds\discomfort\147c.wav; raw_data\Baby Crying Sounds\hungry\415d69b4-6d84-4bf8-97b0-10f8f108dc1d-1430739498797-1.7-m-04-hu.wav; raw_data\Dataset\cry\147c.wav; raw_data\donateacry_corpus\hungry\415d69b4-6d84-4bf8-97b0-10f8f108dc1d-1430739498797-1.7-m-04-hu.wav; raw_data_2\Baby Crying Sounds\discomfort\147c.wav; raw_data_2\Baby Crying Sounds\hungry\415d69b4-6d84-4bf8-97b0-10f8f108dc1d-1430739498797-1.7-m-04-hu.wav; raw_data_2\cry\discomfort\147c.wav; raw_data_2\cry\hungry\415d69b4-6d84-4bf8-97b0-10f8f108dc1d-1430739498797-1.7-m-04-hu.wav; raw_data_2\Dataset\cry\147c.wav; raw_data_2\hungry\hungry1 (162).wav,resolved_by_filename_priority,majority_binary/Hungry/Hungry__0299a151c1fd4c1c1aa4e391e3b25830.wav,7.06,6.772,16000
02ab9bc0519c14f5fdfaa1b3f1d75939,Hungry,raw_data\BABY CRY\hungry\415d69b4-6d84-4bf8-97b0-10f8f108dc1d-1430739528719-1.7-m-04-hu.wav,raw_data\BABY CRY\hungry\415d69b4-6d84-4bf8-97b0-10f8f108dc1d-1430739528719-1.7-m-04-hu.wav; raw_data\Baby Crying Sounds\discomfort\148c.wav; raw_data\Baby Crying Sounds\hungry\415d69b4-6d84-4bf8-97b0-10f8f108dc1d-1430739528719-1.7-m-04-hu.wav; raw_data\Dataset\cry\148c.wav; raw_data\donateacry_corpus\hungry\415d69b4-6d84-4bf8-97b0-10f8f108dc1d-1430739528719-1.7-m-04-hu.wav; raw_data_2\Baby Crying Sounds\discomfort\148c.wav; raw_data_2\Baby Crying Sounds\hungry\415d69b4-6d84-4bf8-97b0-10f8f108dc1d-1430739528719-1.7-m-04-hu.wav; raw_data_2\cry\discomfort\148c.wav; raw_data_2\cry\hungry\415d69b4-6d84-4bf8-97b0-10f8f108dc1d-1430739528719-1.7-m-04-hu.wav; raw_data_2\Dataset\cry\148c.wav; raw_data_2\hungry\hungry1 (163).wav,resolved_by_filename_priority,majority_binary/Hungry/Hungry__02ab9bc0519c14f5fdfaa1b3f1d75939.wav,7.06,6.772,16000
02dac4e6080768f213ce615ac651b4da,Hungry,raw_data\BABY CRY\hungry\9090c7a3-bebc-4485-aafc-64e4298da3ac-1430088396663-1.7-f-26-hu.wav,raw_data\BABY CRY\hungry\9090c7a3-bebc-4485-aafc-64e4298da3ac-1430088396663-1.7-f-26-hu.wav; raw_data\Baby Crying Sounds\hungry\9090c7a3-bebc-4485-aafc-64e4298da3ac-1430088396663-1.7-f-26-hu.wav; raw_data\Baby Crying Sounds\tired\303c.wav; raw_data\Dataset\cry\303c.wav; raw_data\donateacry_corpus\hungry\9090c7a3-bebc-4485-aafc-64e4298da3ac-1430088396663-1.7-f-26-hu.wav; raw_data_2\Baby Crying Sounds\hungry\9090c7a3-bebc-4485-aafc-64e4298da3ac-1430088396663-1.7-f-26-hu.wav; raw_data_2\Baby Crying Sounds\tired\303c.wav; raw_data_2\cry\hungry\9090c7a3-bebc-4485-aafc-64e4298da3ac-1430088396663-1.7-f-26-hu.wav; raw_data_2\cry\tired\303c.wav; raw_data_2\Dataset\cry\303c.wav; raw_data_2\hungry\hungry1 (217).wav,resolved_by_filename_priority,majority_binary/Hungry/Hungry__02dac4e6080768f213ce615ac651b4da.wav,6.94,6.94,16000
03e86bcecda7cac72c47e27e17726a5e,Not_Hungry,raw_data\BABY CRY\tired\C421C6FE-DFEE-4080-8AEA-848E7CE4756B-1430548384-1.0-m-26-ti.wav,raw_data\BABY CRY\tired\C421C6FE-DFEE-4080-8AEA-848E7CE4756B-1430548384-1.0-m-26-ti.wav; raw_data\Baby Crying Sounds\tired\353c.wav; raw_data\Baby Crying Sounds\tired\C421C6FE-DFEE-4080-8AEA-848E7CE4756B-1430548384-1.0-m-26-ti.wav; raw_data\Dataset\cry\353c.wav; raw_data\donateacry_corpus\tired\C421C6FE-DFEE-4080-8AEA-848E7CE4756B-1430548384-1.0-m-26-ti.wav; raw_data_2\Baby Crying Sounds\tired\353c.wav; raw_data_2\Baby Crying Sounds\tired\C421C6FE-DFEE-4080-8AEA-848E7CE4756B-1430548384-1.0-m-26-ti.wav; raw_data_2\cry\tired\353c.wav; raw_data_2\cry\tired\C421C6FE-DFEE-4080-8AEA-848E7CE4756B-1430548384-1.0-m-26-ti.wav; raw_data_2\Dataset\cry\353c.wav; raw_data_2\tired\14tired.wav,no_conflict,majority_binary/Not_Hungry/Not_Hungry__03e86bcecda7cac72c47e27e17726a5e.wav,7.0,6.968,16000
040f0b09ff820c9fc5df7c0bc85c0848,Not_Hungry,raw_data\BABY CRY\belly_pain\643D64AD-B711-469A-AF69-55C0D5D3E30F-1430138495-1.0-m-72-bp.wav,raw_data\BABY CRY\belly_pain\643D64AD-B711-469A-AF69-55C0D5D3E30F-1430138495-1.0-m-72-bp.wav; raw_data\Baby Crying Sounds\belly pain\643D64AD-B711-469A-AF69-55C0D5D3E30F-1430138495-1.0-m-72-bp.wav; raw_data\Baby Crying Sounds\discomfort\201c.wav; raw_data\Dataset\cry\201c.wav; raw_data\donateacry_corpus\belly_pain\643D64AD-B711-469A-AF69-55C0D5D3E30F-1430138495-1.0-m-72-bp.wav; raw_data_2\Baby Crying Sounds\belly pain\643D64AD-B711-469A-AF69-55C0D5D3E30F-1430138495-1.0-m-72-bp.wav; raw_data_2\Baby Crying Sounds\discomfort\201c.wav; raw_data_2\belly_pain\3belly_pain.wav; raw_data_2\cry\belly pain\643D64AD-B711-469A-AF69-55C0D5D3E30F-1430138495-1.0-m-72-bp (2).wav; raw_data_2\cry\belly pain\643D64AD-B711-469A-AF69-55C0D5D3E30F-1430138495-1.0-m-72-bp.wav; raw_data_2\cry\discomfort\201c.wav; raw_data_2\Dataset\cry\201c.wav,resolved_by_filename_priority,majority_binary/Not_Hungry/Not_Hungry__040f0b09ff820c9fc5df7c0bc85c0848.wav,7.0,6.36,16000
052bc80fb37accd12e3ae8c2f87915f7,Hungry,raw_data\BABY CRY\belly_pain\454c.wav,raw_data\BABY CRY\belly_pain\454c.wav; raw_data\BABY CRY\hungry\aaa57dbd-7b88-454a-963e-6faa2f4ed4e7-1437166513710-1.7-f-04-hu.wav; raw_data\Baby Crying Sounds\belly pain\454c.wav; raw_data\Baby Crying Sounds\hungry\aaa57dbd-7b88-454a-963e-6faa2f4ed4e7-1437166513710-1.7-f-04-hu.wav; raw_data\Dataset\cry\454c.wav; raw_data\donateacry_corpus\hungry\aaa57dbd-7b88-454a-963e-6faa2f4ed4e7-1437166513710-1.7-f-04-hu.wav; raw_data_2\Baby Crying Sounds\belly pain\454c.wav; raw_data_2\Baby Crying Sounds\hungry\aaa57dbd-7b88-454a-963e-6faa2f4ed4e7-1437166513710-1.7-f-04-hu.wav; raw_data_2\cry\belly pain\454c.wav; raw_data_2\cry\hungry\aaa57dbd-7b88-454a-963e-6faa2f4ed4e7-1437166513710-1.7-f-04-hu.wav; raw_data_2\Dataset\cry\454c.wav; raw_data_2\hungry\hungry1 (254).wav,resolved_by_filename_priority,majority_binary/Hungry/Hungry__052bc80fb37accd12e3ae8c2f87915f7.wav,7.02,6.508,16000
