md5_hash,reason,original_paths
00e6053b673c2fb6f96b8e1ace9ac3d1,exclude_noise_silence_laugh,raw_data\Baby Crying Sounds\laugh\laugh_1.m4a_26.wav; raw_data\Dataset\not_cry\135n.wav; raw_data_2\Baby Crying Sounds\laugh\laugh_1.m4a_26.wav; raw_data_2\cry\laugh\laugh_1.m4a_26.wav; raw_data_2\Dataset\not_cry\135n.wav
033c4b86e22fadae922a6736776c57cb,unknown_lonely,raw_data\Dataset\cry\97c.ogg; raw_data_2\Dataset\cry\97c.ogg
035c21cb2125c2be94802c82940d957f,exclude_noise_silence_laugh,raw_data\Baby Crying Sounds\laugh\laugh_1.m4a_56.wav; raw_data\Dataset\not_cry\165n.wav; raw_data_2\Baby Crying Sounds\laugh\laugh_1.m4a_56.wav; raw_data_2\cry\laugh\laugh_1.m4a_56.wav; raw_data_2\Dataset\not_cry\165n.wav
039427445d02262f54f2c25513c35833,exclude_noise_silence_laugh,raw_data\Baby Crying Sounds\silence\silence.wav_69.wav; raw_data\Dataset\not_cry\286n.wav; raw_data_2\Baby Crying Sounds\silence\silence.wav_69.wav; raw_data_2\cry\silence\silence.wav_69.wav; raw_data_2\Dataset\not_cry\286n.wav
04ba994d4afcc420c15ebf4b006f6354,exclude_noise_silence_laugh,raw_data\Baby Crying Sounds\silence\silence.wav_26.wav; raw_data\Dataset\not_cry\243n.wav; raw_data_2\Baby Crying Sounds\silence\silence.wav_26.wav; raw_data_2\cry\silence\silence.wav_26.wav; raw_data_2\Dataset\not_cry\243n.wav
056f6125c5a1215527d2e4947d166a01,unknown_lonely,raw_data\BABY CRY\lonely\0f257dac-7d6f-4575-9192-e3b4dcd3d4ef-1430185476161-1.7-f-26-lo.wav; raw_data_2\cry\lonely\0f257dac-7d6f-4575-9192-e3b4dcd3d4ef-1430185476161-1.7-f-26-lo.wav
05e99d404079cf356233d4d9786af484,exclude_noise_silence_laugh,raw_data\Baby Crying Sounds\noise\4-187769-B.ogg; raw_data\Dataset\not_cry\85n.ogg; raw_data_2\Baby Crying Sounds\noise\4-187769-B.ogg; raw_data_2\cry\noise\4-187769-B.ogg; raw_data_2\Dataset\not_cry\85n.ogg
0602cf34594aee85dd4e25a10db07d66,exclude_noise_silence_laugh,raw_data\Baby Crying Sounds\silence\silence.wav_38.wav; raw_data\Dataset\not_cry\255n.wav; raw_data_2\Baby Crying Sounds\silence\silence.wav_38.wav; raw_data_2\cry\silence\silence.wav_38.wav; raw_data_2\Dataset\not_cry\255n.wav
06d249058aa75bfe1b75473b094afa91,unknown_lonely,raw_data\BABY CRY\discomfort\dc5429de-26b4-48e2-bc47-bc607b9bba06-1430741903654-1.7-f-72-lo.wav; raw_data\BABY CRY\lonely\dc5429de-26b4-48e2-bc47-bc607b9bba06-1430741903654-1.7-f-72-lo.wav; raw_data_2\cry\discomfort\dc5429de-26b4-48e2-bc47-bc607b9bba06-1430741903654-1.7-f-72-lo.wav; raw_data_2\cry\lonely\dc5429de-26b4-48e2-bc47-bc607b9bba06-1430741903654-1.7-f-72-lo.wav
077907e225e88382e864b642a64883cc,exclude_noise_silence_laugh,raw_data\Baby Crying Sounds\silence\silence.wav_5.wav; raw_data\Dataset\not_cry\222n.wav; raw_data_2\Baby Crying Sounds\silence\silence.wav_5.wav; raw_data_2\cry\silence\silence.wav_5.wav; raw_data_2\Dataset\not_cry\222n.wav
