md5_hash,copies_count,file_paths,inferred_raw_labels,candidate_5_class_labels,candidate_binary_labels,resolved_5_class,resolved_binary,conflict_status
000898e8486ebd65d53362b00bbc3e50,1,cleaned_audio_unique\e3247f6838913b5dd33155dfe6dc797e.wav,cleaned_audio_unique; unknown,Unknown,Unknown,Unknown,Unknown,unknown_label
002c532acbf12a65f63851c6d273e234,1,standardized_audio\12c.wav,standardized_audio; unknown,Unknown,Unknown,Unknown,Unknown,unknown_label
002f8e991f0a7ade281f50e1c55be7f3,1,standardized_audio\1-47819-B.wav,standardized_audio; unknown,Unknown,Unknown,Unknown,Unknown,unknown_label
003243af259531a58c7283c423f907cf,1,standardized_audio\326c.wav,standardized_audio; unknown,Unknown,Unknown,Unknown,Unknown,unknown_label
0044b9b7abc59aeb443b10fc494b626d,1,cleaned_audio_unique\71d49eae882cc3c76fd542cce761b35e.wav,cleaned_audio_unique; unknown,Unknown,Unknown,Unknown,Unknown,unknown_label
004cc33eecccd79bc58bc5551a6e9245,1,standardized_audio\silence.wav_77.wav,silence; standardized_audio,Exclude,Exclude,Exclude,Exclude,exclude_candidate
004fc471d1f7129f7d1bec5c56845898,1,standardized_audio\silence.wav_3.wav,silence; standardized_audio,Exclude,Exclude,Exclude,Exclude,exclude_candidate
0063209cc3b4508f703db69ab7c33ebb,1,standardized_audio\4-161519-A.wav,standardized_audio; unknown,Unknown,Unknown,Unknown,Unknown,unknown_label
006833ac004f92d5b72b8fef19dbf8ff,1,standardized_audio\155c.wav,standardized_audio; unknown,Unknown,Unknown,Unknown,Unknown,unknown_label
00bfe1793309aa8d9ce5e3d45f9f437d,1,standardized_audio\1b381a1e-88a6-4a48-b889-a5ccdf0aacaf-1430299568333-1.7-f-72-hu.wav,standardized_audio; unknown,Unknown,Unknown,Unknown,Unknown,unknown_label
00e6053b673c2fb6f96b8e1ace9ac3d1,5,raw_data\Baby Crying Sounds\laugh\laugh_1.m4a_26.wav; raw_data\Dataset\not_cry\135n.wav; raw_data_2\Baby Crying Sounds\laugh\laugh_1.m4a_26.wav; raw_data_2\cry\laugh\laugh_1.m4a_26.wav; raw_data_2\Dataset\not_cry\135n.wav,silence; unknown; laugh; not_cry,Exclude,Exclude,Exclude,Exclude,exclude_candidate
00ecffc254f33ebf0a21eabfd3507de9,1,standardized_audio\hung_yudi_puting_dilepas_14.wav,standardized_audio; unknown,Unknown,Unknown,Unknown,Unknown,unknown_label
