md5_hash,copies_count,file_paths,folders,filename_code_labels,evidence_based_labels_list,strict_5class_qualified,strict_5class_label,majority_5class_qualified,majority_5class_label,majority_resolved_by_voting,strict_binary_qualified,strict_binary_label,majority_binary_qualified,majority_binary_label,group_status
00e6053b673c2fb6f96b8e1ace9ac3d1,5,raw_data\Baby Crying Sounds\laugh\laugh_1.m4a_26.wav; raw_data\Dataset\not_cry\135n.wav; raw_data_2\Baby Crying Sounds\laugh\laugh_1.m4a_26.wav; raw_data_2\cry\laugh\laugh_1.m4a_26.wav; raw_data_2\Dataset\not_cry\135n.wav,laugh; not_cry,None,Exclude,no,Excluded/Unknown,no,Excluded/Unknown,no,no,Excluded/Unknown,no,Excluded/Unknown,exclude
012d46a1057c852dac5e0c451f5a24ed,12,raw_data\BABY CRY\hungry\8b1faa77-e3ac-48af-bf2a-58aadebefcba-1436798541805-1.7-m-04-hu.wav; raw_data\BABY CRY\tired\287c.wav; raw_data\Baby Crying Sounds\hungry\8b1faa77-e3ac-48af-bf2a-58aadebefcba-1436798541805-1.7-m-04-hu.wav; raw_data\Baby Crying Sounds\tired\287c.wav; raw_data\Dataset\cry\287c.wav; raw_data\donateacry_corpus\hungry\8b1faa77-e3ac-48af-bf2a-58aadebefcba-1436798541805-1.7-m-04-hu.wav; raw_data_2\Baby Crying Sounds\hungry\8b1faa77-e3ac-48af-bf2a-58aadebefcba-1436798541805-1.7-m-04-hu.wav; raw_data_2\Baby Crying Sounds\tired\287c.wav; raw_data_2\cry\hungry\8b1faa77-e3ac-48af-bf2a-58aadebefcba-1436798541805-1.7-m-04-hu.wav; raw_data_2\cry\tired\287c.wav; raw_data_2\Dataset\cry\287c.wav; raw_data_2\hungry\hungry1 (68).wav,hungry; tired; cry,None; Hungry,Unknown; Hungry; Tired,no,Excluded/Unknown,yes,Hungry,yes,no,Excluded/Unknown,yes,Hungry,resolved_by_filename_priority
014d843b14f7592648b0cc7d2813a04e,12,raw_data\BABY CRY\belly_pain\364c.wav; raw_data\BABY CRY\hungry\D54D9C2A-56ED-4338-9D1F-2ADB4E081DAD-1430036283-1.0-m-48-hu.wav; raw_data\Baby Crying Sounds\belly pain\364c.wav; raw_data\Baby Crying Sounds\hungry\D54D9C2A-56ED-4338-9D1F-2ADB4E081DAD-1430036283-1.0-m-48-hu.wav; raw_data\Dataset\cry\364c.wav; raw_data\donateacry_corpus\hungry\D54D9C2A-56ED-4338-9D1F-2ADB4E081DAD-1430036283-1.0-m-48-hu.wav; raw_data_2\Baby Crying Sounds\belly pain\364c.wav; raw_data_2\Baby Crying Sounds\hungry\D54D9C2A-56ED-4338-9D1F-2ADB4E081DAD-1430036283-1.0-m-48-hu.wav; raw_data_2\cry\belly pain\364c.wav; raw_data_2\cry\hungry\D54D9C2A-56ED-4338-9D1F-2ADB4E081DAD-1430036283-1.0-m-48-hu.wav; raw_data_2\Dataset\cry\364c.wav; raw_data_2\hungry\hungry1 (313).wav,cry; hungry; belly pain; belly_pain,None; Hungry,Unknown; Belly Pain; Hungry,no,Excluded/Unknown,yes,Hungry,yes,no,Excluded/Unknown,yes,Hungry,resolved_by_filename_priority
016f7ca6c5f88964876310d8ab928f7e,11,raw_data\BABY CRY\hungry\AA2CA7F6-4547-4CC0-AA4C-5D7B64727FB5-1437123487-1.1-f-26-hu.wav; raw_data\Baby Crying Sounds\hungry\AA2CA7F6-4547-4CC0-AA4C-5D7B64727FB5-1437123487-1.1-f-26-hu.wav; raw_data\Baby Crying Sounds\tired\335c.wav; raw_data\Dataset\cry\335c.wav; raw_data\donateacry_corpus\hungry\AA2CA7F6-4547-4CC0-AA4C-5D7B64727FB5-1437123487-1.1-f-26-hu.wav; raw_data_2\Baby Crying Sounds\hungry\AA2CA7F6-4547-4CC0-AA4C-5D7B64727FB5-1437123487-1.1-f-26-hu.wav; raw_data_2\Baby Crying Sounds\tired\335c.wav; raw_data_2\cry\hungry\AA2CA7F6-4547-4CC0-AA4C-5D7B64727FB5-1437123487-1.1-f-26-hu.wav; raw_data_2\cry\tired\335c.wav; raw_data_2\Dataset\cry\335c.wav; raw_data_2\hungry\hungry1 (247).wav,hungry; tired; cry,None; Hungry,Unknown; Hungry; Tired,no,Excluded/Unknown,yes,Hungry,yes,no,Excluded/Unknown,yes,Hungry,resolved_by_filename_priority
01964e9af9af90af4fa1cb31c3878f27,1,raw_data\BABY CRY\discomfort\a40b9b8d-e4bc-457a-badf-f38bdbc0c358-1430016981469-1.7-m-26-dc.wav,discomfort,Discomfort,Discomfort,yes,Discomfort,yes,Discomfort,no,yes,Not Hungry,yes,Not Hungry,no_conflict
0299a151c1fd4c1c1aa4e391e3b25830,11,raw_data\BABY CRY\hungry\415d69b4-6d84-4bf8-97b0-10f8f108dc1d-1430739498797-1.7-m-04-hu.wav; raw_data\Baby Crying Sounds\discomfort\147c.wav; raw_data\Baby Crying Sounds\hungry\415d69b4-6d84-4bf8-97b0-10f8f108dc1d-1430739498797-1.7-m-04-hu.wav; raw_data\Dataset\cry\147c.wav; raw_data\donateacry_corpus\hungry\415d69b4-6d84-4bf8-97b0-10f8f108dc1d-1430739498797-1.7-m-04-hu.wav; raw_data_2\Baby Crying Sounds\discomfort\147c.wav; raw_data_2\Baby Crying Sounds\hungry\415d69b4-6d84-4bf8-97b0-10f8f108dc1d-1430739498797-1.7-m-04-hu.wav; raw_data_2\cry\discomfort\147c.wav; raw_data_2\cry\hungry\415d69b4-6d84-4bf8-97b0-10f8f108dc1d-1430739498797-1.7-m-04-hu.wav; raw_data_2\Dataset\cry\147c.wav; raw_data_2\hungry\hungry1 (162).wav,discomfort; hungry; cry,None; Hungry,Unknown; Hungry; Discomfort,no,Excluded/Unknown,yes,Hungry,yes,no,Excluded/Unknown,yes,Hungry,resolved_by_filename_priority
02ab9bc0519c14f5fdfaa1b3f1d75939,11,raw_data\BABY CRY\hungry\415d69b4-6d84-4bf8-97b0-10f8f108dc1d-1430739528719-1.7-m-04-hu.wav; raw_data\Baby Crying Sounds\discomfort\148c.wav; raw_data\Baby Crying Sounds\hungry\415d69b4-6d84-4bf8-97b0-10f8f108dc1d-1430739528719-1.7-m-04-hu.wav; raw_data\Dataset\cry\148c.wav; raw_data\donateacry_corpus\hungry\415d69b4-6d84-4bf8-97b0-10f8f108dc1d-1430739528719-1.7-m-04-hu.wav; raw_data_2\Baby Crying Sounds\discomfort\148c.wav; raw_data_2\Baby Crying Sounds\hungry\415d69b4-6d84-4bf8-97b0-10f8f108dc1d-1430739528719-1.7-m-04-hu.wav; raw_data_2\cry\discomfort\148c.wav; raw_data_2\cry\hungry\415d69b4-6d84-4bf8-97b0-10f8f108dc1d-1430739528719-1.7-m-04-hu.wav; raw_data_2\Dataset\cry\148c.wav; raw_data_2\hungry\hungry1 (163).wav,discomfort; hungry; cry,None; Hungry,Unknown; Hungry; Discomfort,no,Excluded/Unknown,yes,Hungry,yes,no,Excluded/Unknown,yes,Hungry,resolved_by_filename_priority
02dac4e6080768f213ce615ac651b4da,11,raw_data\BABY CRY\hungry\9090c7a3-bebc-4485-aafc-64e4298da3ac-1430088396663-1.7-f-26-hu.wav; raw_data\Baby Crying Sounds\hungry\9090c7a3-bebc-4485-aafc-64e4298da3ac-1430088396663-1.7-f-26-hu.wav; raw_data\Baby Crying Sounds\tired\303c.wav; raw_data\Dataset\cry\303c.wav; raw_data\donateacry_corpus\hungry\9090c7a3-bebc-4485-aafc-64e4298da3ac-1430088396663-1.7-f-26-hu.wav; raw_data_2\Baby Crying Sounds\hungry\9090c7a3-bebc-4485-aafc-64e4298da3ac-1430088396663-1.7-f-26-hu.wav; raw_data_2\Baby Crying Sounds\tired\303c.wav; raw_data_2\cry\hungry\9090c7a3-bebc-4485-aafc-64e4298da3ac-1430088396663-1.7-f-26-hu.wav; raw_data_2\cry\tired\303c.wav; raw_data_2\Dataset\cry\303c.wav; raw_data_2\hungry\hungry1 (217).wav,hungry; tired; cry,None; Hungry,Unknown; Hungry; Tired,no,Excluded/Unknown,yes,Hungry,yes,no,Excluded/Unknown,yes,Hungry,resolved_by_filename_priority
033c4b86e22fadae922a6736776c57cb,2,raw_data\Dataset\cry\97c.ogg; raw_data_2\Dataset\cry\97c.ogg,cry,None,Unknown,no,Excluded/Unknown,no,Excluded/Unknown,no,no,Excluded/Unknown,no,Excluded/Unknown,unknown
035c21cb2125c2be94802c82940d957f,5,raw_data\Baby Crying Sounds\laugh\laugh_1.m4a_56.wav; raw_data\Dataset\not_cry\165n.wav; raw_data_2\Baby Crying Sounds\laugh\laugh_1.m4a_56.wav; raw_data_2\cry\laugh\laugh_1.m4a_56.wav; raw_data_2\Dataset\not_cry\165n.wav,laugh; not_cry,None,Exclude,no,Excluded/Unknown,no,Excluded/Unknown,no,no,Excluded/Unknown,no,Excluded/Unknown,exclude
